title,price_cleaned,bedrooms_cleaned,location_clean,post_time_category
3bed/1 bath,2300,1,jamaica,longer than a month but within six months
3br - $3000- 3 BEDROOM APARTMENT FOR RENT,3000,1,springfield gardens,longer than a month but within six months
3br 2ba Full gut reno with shared courtyard in Prime West Vil!,8500,1,west village,longer than a month but within six months
"3br incl basement, 1 1/2 bath, all utilities included",2500,1,elmont,longer than a month but within six months
3br with in unit laundry and private backyard,3195,1,brooklyn,longer than a month but within six months
4 Apartments For Rent,2300,1,queens,longer than a month but within six months
"4 BED / 2 BATH  IN GREENPOINT WITH  LOUNGE, OFFICE SPACE, BIKE STORAG",5800,1,greenpoint,longer than a month but within six months
"4 BED / 2 BATH AND AWESOME DESIGN WITH FULL GYM, LAUNDREY &SO MUCH MOR",5800,1,greenpoint,longer than a month but within six months
4 BED 2 BATH IN CROWN HEIGHTS FOR A SWEET PRICE! NO FEE!,3400,1,crown heights,longer than a month but within six months
4 BED 2 BATH WITH LIVING ROOM,3999,1,brooklyn,longer than a month but within six months
"4 BED/2 BATH AWESOME DESIGN WITH  LAUNDRY, ROOF, ELEVATOR, GYM",5800,1,greenpoint,longer than a month but within six months
4 BEDROOM 2 FULL BATH SPRINGDALE,3600,1,stamford,longer than a month but within six months
4 BEDROOM W/ YARD,3400,1,222nd/laconia ave,longer than a month but within six months
4 BR 2 BA Duplex with 2 Balconies,3500,1,jamaica,longer than a month but within six months
4 BR/2 Bath Apartment - $2800 w/flexibility,2800,1,bellerose,longer than a month but within six months
"4 Bed / 2 Bath in Bushwick, Brooklyn. All Pets Allowed",3650,1,buschwick,longer than a month but within six months
4 Bed 1.5 Bath w/Skylight,3675,1,ridgewood,longer than a month but within six months
4 Bed 2 Bath Washer Dryer Central AC,3300,1,ridgewood,longer than a month but within six months
4 Bed 3 baths Huge Patio East 18  A Must See *Jan 1 showing now No Fee,7895,1,gramercy,longer than a month but within six months
4 Bed Bad Credit No problem,2400,1,jamaica,longer than a month but within six months
4 Bed/2 Bath/in Amenities-converted school-AC/GYM/ROOF/Courtyard/nofee,5800,1,greenpoint,longer than a month but within six months
4 Bedrms 1 BathRm 1ParkingSpot Laurel Ave 1stFL& 2nd FL SI NY 10304,2600,1,staten island,longer than a month but within six months
4 Bedroom 1 Bathroom Apartment For Rent,3200,1,staten island,longer than a month but within six months
4 Bedroom 2 Full Bath Washer Dryer No fee,3299,1,ridgewood,longer than a month but within six months
4 Bedroom Apartment for Rent - No Fee,3217,1,st george,longer than a month but within six months
4 Bedroom Apt for Rent in the Bronx with Balcony,3300,1,bronx,longer than a month but within six months
"4 Bedroom DUPLEX, 2 Full Baths",4500,4,buschwick,within an hour
4 Bedroom Duplex for rent,2950,1,new rochelle,longer than a month but within six months
4 Bedroom Furnished Apartment (Furniture Included),4000,1,woodside,longer than a month but within six months
"4 Bedroom Penthouse * 2 Balconies, Washer/Dryer * Private Roof Deck!",7495,1,midtown,longer than a month but within six months
4 Bedroom Space for everyone,6000,1,lower east side,longer than a month but within six months
4 Bedroom apartment for rent,2800,1,mount vernon,longer than a month but within six months
4 Bedroom apt for rent,2900,1,brooklyn,longer than a month but within six months
4 Bedroom available for asap move W/D + D/W!,3300,1,myrtle l/seneca m,longer than a month but within six months
"4 BedroomW/ Washer/Dryer, Dishwasher, Central Air, & Balcony",3250,4,flatbush,longer than an hour but within a day
4 Bedrooms 1 Bathroom with backyard and parking! Wash and dryer inc,3300,1,bronx,longer than a month but within six months
4 Bedrooms 2Baths Apartment,3200,1,floral park,longer than a month but within six months
4 Bedrooms Duplex con Basement For Rent,4800,1,corona,longer than a month but within six months
4 Beds 2.5 Baths duplex apartment in hip Ridgewood,3800,1,ridgewood,longer than a month but within six months
"4 Equal to Size Bedrooms, SKYLIGHTS, 5 Blocks from Dekalb L Train",3650,4,ridgewood,longer than an hour but within a day
4 apts for Rent starting on February 1st,2000,1,east hampton,longer than a month but within six months
4 bed 2 Bath duplex House for rent,3800,1,bellerose,longer than a month but within six months
4 bed 3 bath Massive duplex in Prim bushwick with private backyard !,5000,4,brooklyn,longer than an hour but within a day
4 bedroom  Corona,2900,1,corona,longer than a month but within six months
4 bedroom apartment,3999,1,canarsie,longer than a month but within six months
4 bedroom at a 3 bedroom price,2400,1,yonkers,longer than a month but within six months
"4 bedroom available today CVR, Sec 8 welcome",2400,1,yonkers,longer than a month but within six months
4 bedroom home must see!!,4100,1,valley stream,longer than a month but within six months
4 bedroom in Silver Lake,3000,1,staten island,longer than a month but within six months
4 bedroom with modern comforts,4124,1,buschwick,longer than a month but within six months
"4 bedroom, 3 bath home for rent",8500,1,greenwich,longer than a month but within six months
4 bedrooms 2 baths fully renovated with balcony,3200,1,bergen beach,longer than a month but within six months
4 bedrooms 2 baths with balcony Gravesend,3200,1,gravesend,longer than a month but within six months
4 bedrooms 2 baths with balcony fully renovated Gravesend,3200,1,gravesend,longer than a month but within six months
4 bedrooms 2 baths with balcony sheepshead bay,3200,1,sheepshead bay,longer than a month but within six months
"4-BEDROOMS APARTMENT WITH ELEVATOR, GYM, OUTDOOR SPACE, LAUNDRY",5700,1,greenpoint,longer than a month but within six months
4-Bedroom immaculate house,7900,1,white plains,longer than a month but within six months
4-Bedrooms,3019,1,jamaica,longer than a month but within six months
4/5 Bedroom Apartment for Rent- Direct from Owner- No Broker Fees,3400,1,franklin square,longer than a month but within six months
40TH STREET AND 43RD AVE BEAUTIFUL ONE BEDROOM AVAILABLE,1700,1,sunnyside,longer than a month but within six months
40TH STREET AND 43RD AVE ONE BEDROOM NEAR #7 TRAIN AND 30MIN TO N Y  C,1695,1,sunnyside,longer than a month but within six months
40TH STREET AND 43RD AVE TWO BEDROOMS NEAR #7 TRAIN AND 20MIN TO N Y,2275,1,sunnyside,longer than a month but within six months
41TH STREET AND 43RD AVE LARGE STUDIO  NEAR #7 TRAIN  25MIN TO  N Y,1450,1,sunnyside,longer than a month but within six months
41TH STREET AND SKILLMAN AVE ONE  BEDROOM NEAR #7 TRAIN,1775,1,sunnyside,longer than a month but within six months
"421-423 LESLIE ST. - 2L NEWARK, NJ 07112 - 3BR 2BATH",1997,1,newark,longer than a month but within six months
"421-423 LESLIE ST. 2R NEWARK, NJ 07112 - 4BR 3 BATH",2497,1,newark,longer than a month but within six months
42nd st sun drenched 1BR river views of New Jerse,4900,1,midtown,longer than a month but within six months
43RD STREET AND 43RD AVE TWO BEDROOMS NEAR #7 TRAIN AND 30MIN TO N Y C,2350,1,sunnyside,longer than a month but within six months
"43RD STREET AND 43RD AVE, ONE BEDROOM AVAILABLE IN SUNNYSIDE",1750,1,sunnyside,longer than a month but within six months
44TH STREET AND 43RD AVE ONE BEDROOM NEAR #7 TRAIN,1775,1,sunnyside,longer than an hour but within a day
44TH STREET AND 43RD AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN,1790,1,sunnyside,longer than a month but within six months
44TH STREET AND 43RD AVE ONE BEDROOM NEAR 7 TRAIN,2450,1,sunnyside,longer than a month but within six months
44TH STREET AND 43RD AVE TWO BEDROOMS NEAR #7 TRAIN AND 30MIN TO N Y,2250,2,sunnyside,longer than a month but within six months
44TH STREET AND 47TH AVE  ONE BEDROOM NEAR #7 TRAIN  AND 30MIN TO N Y,1800,1,sunnyside,longer than a month but within six months
"4515 #B5 NO FEE, QUIET ONE BEDROOM UNIT.",1495,1,brooklyn,longer than a month but within six months
4515 #B5 Spacious bright apartment in East Flatabush,1545,1,brooklyn,longer than a month but within six months
48TH AVE AND 47TH STREET AND TWO BEDROOMS NEAR #7 TRAIN 30MIN TO NY,2100,1,woodside,longer than a month but within six months
48TH STREET AND 43RD AVE ONE BEDROOM NEAR #7 TRAIN,1700,1,sunnyside,longer than a month but within six months
49TH STREET AND SKILLMAN AVE LARGE STUDIO NEAR #7 TRAIN AND 30MIN TO N,1550,1,sunnyside,longer than a month but within six months
49TH STREET AND SKILLMAN AVE TWO BEDROOMS NEAR #7 TRAIN,2175,1,sunnyside,longer than a month but within six months
4BEDROOM DUPLEX / ENDLESS NATURAL LIGHT / 2 BATHROOMS**NO FEE,4800,1,williamsburg,longer than a month but within six months
4Br/2Ba Sweet location in the Hart of Bed-Stuy Over 1000 SF,3499,1,bed stuy,longer than a month but within six months
"4bed - 2 bath, Duplex, Outdoor Space, updated appliances, Laundry, AC",3899,1,crown heights,longer than a month but within six months
"4bed 2 full bath, right near Pratt Institute!!!!!! - $4600",4600,1,bed stuy,longer than a month but within six months
"4th & B:  No-Fee 1-bedroom w washer & dryer, dishwasher",3295,1,east village,longer than an hour but within a day
5 BEDROOM MASSIVE APARTMENT,3161,1,bedford park,longer than a month but within six months
5 Bed 2 Bath with,4500,1,ocean hill,longer than a month but within six months
5 Bedroom 2 Bath Apartment,3161,1,east village,longer than a month but within six months
"5 Rooms Apartment Sunset Park, Brooklyn",2700,1,brooklyn,longer than a month but within six months
5 bedroom 2 bath Duplex Townhome,3500,1,flushing,longer than a month but within six months
5 bedroom in the Bronx,4100,1,bronx,longer than a month but within six months
"5 room 2 Bedroom Apartment -  Astoria Queens $2,000 A month",2000,1,astoria,longer than a month but within six months
5-Star Studio_Balcony w/ Views_Close 2 Shops/Express Sub_Elev./Laundry,1800,1,sunset park,longer than a month but within six months
50 Prince Elevator/Laundry. Classic Nolita BLDNG W Cache,4395,1,soho,longer than a month but within six months
50TH AVE & 44TH STREET GORGEOUS 2 BEDROOM AVAILABLE NEAR TRAINS,2450,2,sunnyside,longer than an hour but within a day
50TH STREET AND 43RD AVE TWO BEDROOMS NEAR #7 TRAIN,2250,1,sunnyside,longer than a month but within six months
50TH STREET AND QUEENS BLVD ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO  N,1700,1,sunnyside,longer than a month but within six months
50TH STREET AND SKILLMAN AVE ONE BEDROOM NEAR #7 TRAIN AND 20MIN TO N,1790,1,sunnyside,longer than a month but within six months
51ST ST & SKILLMAN AVE BEAUTIFUL ONE BEDROOM AVAILABLE,1700,1,sunnyside,longer than a month but within six months
51ST STREET AND SKILLMAN AVE LARGE STUDIO NEAR #7 TRAIN AND 30MIN TO N,1550,1,sunnyside,longer than a month but within six months
51TH STREET AND  SKILLMAN AVE LARGE ONE BEDROOM NEAR #7 TRAIN,1800,1,sunnyside,longer than a month but within six months
51TH STREET AND 39TH AVE 2 BEDROOMS NEAR #7 TRAIN AND 30MIN TO N Y C,2200,1,sunnyside,longer than a month but within six months
51TH STREET AND SKILLMAN AVE LARGE ONE BEDROOM NEAR #7 TRAIN AND 30MIN,1750,1,sunnyside,longer than a month but within six months
51TH STREET AND SKILLMAN AVE LARGE STUDIO NEAR #7 TRAIN AND 30 MIN TO,1495,1,sunnyside,longer than a month but within six months
51TH STREET AND SKILLMAN LARGE STUDIO NEAR #7 TRAIN AND 30MIN TO N Y C,1490,1,sunnyside,longer than a month but within six months
51TH STREET AND SKILLMN AVE ONE BEDROOM NEAR #7 TRAIN 25 MIN TO N Y,1790,1,sunnyside,longer than a month but within six months
52ND STREET AND QUEENS BLVD ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO  N,1675,1,sunnyside,longer than a month but within six months
52ND STREET AND SKILLMAN AVE LARGE STUDIO NEAR #7 TRAIN AND 25MIN TO,1475,1,sunnyside,longer than a month but within six months
531 #7 Gorgeous charming apartment located at Brownsville,1975,1,brownsville,longer than a month but within six months
54th Street 1 Bedroom 1 Bathroom 1/2 Month Rent Free,4212,1,midtown,longer than a month but within six months
55TH STREET AND WOODSIDE AVE LARGE ONE BR NEAR #7 TRAIN AND 25MIN TO N,1700,1,woodside,longer than a month but within six months
55TH STREET AND WOODSIDE AVE LARGE TWO BR NEAR #7 TRAIN AND 25MIN TO N,2200,1,woodside,longer than a month but within six months
"57-06 VAN HORN STREET  3RD FLOOR ELMHURST, NY 11373 BEAUTIFUL,LARGE 3",2699,1,elmhurst,longer than a month but within six months
59TH STREET AND WOODSIDE AVE LARGE STUDIO NEAR #7 TRAIN AND 25MIN TO N,1490,1,woodside,longer than a month but within six months
59TH STREET AND WOODSIDE AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO N,1690,1,woodside,longer than a month but within six months
6 bedroom in the Bronx,4700,1,bronx,longer than a month but within six months
60TH STREET WOODSIDE AVE LARGE STUDIO NEAR #7 TRAIN,1450,1,woodside,longer than a month but within six months
61-20 WOODBIND STREET ONE BEDROOM  NEAR TRAN 30MIN TO N Y,1345,1,ridgewood,longer than a month but within six months
61-20 WOODBIND STREET ONE BEDROOM 1290.00 NEAR TRAN 30MIN TO N Y,1290,1,ridgewood,longer than a month but within six months
62ND STREET AND ROOSEVELT AVE ONE BEDROOM NEAR #7 TRAIN,1495,1,woodside,longer than a month but within six months
638 Classon Avenue #2R,3900,1,brooklyn,longer than a month but within six months
63RD STREET AND WOODSIDE AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO N,1665,1,woodside,longer than a month but within six months
"648 #2A A perfectly spaced Three Bedroom two Bathroom in Crown heights, in a bra",2895,1,brooklyn,longer than a month but within six months
654 #BM AFFORDABLE AND BEAUITFULLY REDONE BASEMENT WITH ATON OF LIGHT!!,1995,1,brooklyn,longer than a month but within six months
65TH STREET AND WOODSIDE AVE ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO N,1675,1,woodside,longer than a month but within six months
65th Fl 1 Bed--Amazing Views--Modern Finishes-Endless Amenities/No Fee,3985,1,long island,longer than a month but within six months
69TH STREET AND GRAND AVE ONE BEDROOM NEAR TRAIN AND 30MIN TO N Y  C,1300,1,maspeth,longer than a month but within six months
69th Street (btw Northern Blvd & 34th Ave),3400,3,woodside,longer than a month but within six months
70TH STREET AND 30TH AVE 3 BEDROOMS NEAR #7 TRAIN AND 25MIN YO N Y C,2425,1,jackson heights,longer than a month but within six months
"73-37 Austin St., Apt. # 5F",2395,1,forest hills,longer than a month but within six months
735 Rogers Avenue Apt 2,3200,1,brooklyn,longer than a month but within six months
74TH STREET AND BROADWAY ONE BEDROOM NEAR #7 TRAIN E M R TRAIN,1700,1,jackson heights,longer than a month but within six months
750 Sqft--Walk-In Closet--Great Views-- New Reno--Amazing Location,3895,1,long island,longer than a month but within six months
77st and 1st av studio for rent 3 mos or 6 or9 or 12 mos,2000,1,upper east side,longer than a month but within six months
79TH STREET AND WOODSIDE AVE TWO BEDROOMS NEAR #7 M R TRAIN AND 30MIN,2150,1,elmhurst,longer than a month but within six months
80 van burren st,2100,1,staten island,longer than a month but within six months
800+SQUARE FEET~~~AMPLE CLOSET SPACE~~~CHEF'S KITCHEN,4150,1,financial district,longer than a month but within six months
809 #2A NEWELY RENOVATED TWO BEDROOM IN PRIME LOCATION,2595,1,brooklyn,longer than a month but within six months
80TH STREET AND BROADWAY GORGEOUS 2 BEDROOM IN ELMHURST,1800,1,elmhurst,longer than a month but within six months
823 #2B CONVENIENTLY LOCATED STUDIO.,1750,1,brooklyn,longer than a month but within six months
82nd st 417 e 82st  apt 5d studio call me,2395,1,upper east side,longer than a month but within six months
84 William - Lease Takeover,3450,1,financial district,longer than a month but within six months
89TH STREET AND 55TH AVE GORGEOUS ONE BEDROOM NEAR TRAIN,1800,1,elmhurst,longer than a month but within six months
89TH STREET AND 55TH AVE TWO BEDROOMS NEAR #M R TRAIN,1825,1,elmhurst,longer than a month but within six months
89TH STREET AND QUEENS BLVD TWO BEDROOMS NEAR #M R TRAIN,1795,1,elmhurst,longer than a month but within six months
"900 sq ft 1 bed, 1 bath in stamford, CT",2050,1,stamford,longer than a month but within six months
92ND STREET AND WHITNEY AVE TWO BEDROOMS AVAILABLE NEAR #7 TRAIN,1800,1,elmhurst,longer than a month but within six months
94TH STREET AND 60TH AVE LARGE STUDIO NEAR #7 TRAIN AND 25MIN TO N Y,1490,1,elmhurst,longer than a month but within six months
:::::: 2CUARTOS BEISMAN <~~~~~~~~ :::::,1500,1,woodhaven,longer than a month but within six months
<^^^MASSIVE OPEN SPACE^^^TOP FLOOR^^HIGH END CONDO FINISHES^^CITY VIEW,2850,1,financial district,longer than a month but within six months
<^^^^^CONDO FINISHES^^^^^TOP FLOOR^^^^^^HIGH CEILINGS^^^^^LARGE CLOSET,2950,1,battery park,longer than a month but within six months
===HIGH FLOOR====NEW CONSTRUCTION====CONDO FINISHES=====NO FEE========,3700,1,battery park,longer than a month but within six months
===HIGH FLOOR====NEW CONSTRUCTION====CONDO FINISHES====HIGH CEILINGS==,4595,1,tribeca,longer than a month but within six months
===TOP FLOOR====MASSIVE====HIGH CEILING====CITY VIEWS====,4000,1,tribeca,longer than a month but within six months
===TOP FLOOR====MASSIVE====HIGH CEILING====WATER VIEWS====,2750,1,battery park,longer than a month but within six months
=> 3BED => ALL UTILITIES INCLUDED => LAUNDRY => PRIVATE TERRACE =>,3299,1,astoria,longer than a month but within six months
> 👀 STUDIO - spacious [$2275} 💥,2275,1,upper east side,longer than a month but within six months
"@ 1Fl new 1bed/1bath Apt w/i ""All Utilities"" in a newly built home @",1900,1,fresh meadows,longer than a day but within a month
"@ 1Fl renovated 1bed/1bath Apt w/i ""All Utilities"" @",1850,1,fresh meadows,longer than a day but within a month
"@ 1Fl renovated 3bed/1bath Apt w/i ""Heat/ Backyard"" incld. @",2300,1,whitestone,longer than a month but within six months
"@ 1Fl renovated 3bed/2bath Apt w/i ""All Utilities/ Backyard"" @",2600,3,auburndale,longer than a day but within a month
"@ 1Fl renovated Studio Apt w/i ""All Utilities"" incld. @",1400,1,douglaston,longer than a month but within six months
@ 2Fl brand new 2bed/1bath Apt + Subway (J) nearby @,2000,1,cypress hills,longer than a month but within six months
"@ 2Fl renovated 2bed/1bath Apt w/i ""All Utilities"" + Subway (D) @",2000,1,bensonhurst,longer than a month but within six months
"@ 2bed Apt w/i ""All Utilities/ Wi-Fi/ Cable TV/ Backyard/ Laundry"" @",1500,1,bayside,longer than a month but within six months
@ BUSHWICK__2 BR__$2400__L / M trains Bushwick Sunset Park Slope,2400,1,buschwick,longer than a month but within six months
"@ Cozy 1bed Apt w/i ""All Utilities/ Wi-Fi/ Cable TV/ Laundry"" incld. @",950,1,bayside,longer than a month but within six months
@ INDUSTRY CITY__2 BR__$2000__Greenwood Heights Sunset Park Slope,2000,1,greenwood,longer than a month but within six months
"@ New renovated & Spacious 2bed/1bath Duplex w/i ""Heat"" incld. @",2100,1,bayside,longer than a month but within six months
"@ Renovated 2bed/1bath Apt w/i ""Backyard"" @",1900,1,flushing,longer than a month but within six months
"@ Renovated 3bed/2bath Apt w/i ""Laundry/ Terrace/ Backyard""+ Pets o.k.",2500,1,pelham,longer than a month but within six months
"@ Renovated 4bed Apt w/i ""Laundry/ Parking(x2)/ Terrace/ Backyard"" @",2800,1,"arrochar, ny",longer than a month but within six months
@ Renovated Whole House (3Bed/ 2Bath/ Laundry/ Backyard/ Pet),2300,1,"old town, ny",longer than a month but within six months
@ Renovated Whole House (3Bed/ 3Bath/ Laundry/ Parking/ Backyard/ Pet),2900,1,new dorp,longer than a month but within six months
"@ Spacious 2bed/1bath Apt w/i ""Laundry"" + Cunningham Park nearby @",2050,1,fresh meadows,longer than a month but within six months
"@ Spacious 3bed/1bath Apt w/i"" Heat"" incld. + Subway (D)",2300,1,dyker heights,longer than a month but within six months
@ Whole House (4Beds/ 3.5Baths/ Finished Basement/ Two Garages/ Cat),6500,1,roslyn,longer than a month but within six months
@ Whole House (5Beds/ 3Baths/ Finished Basement) + Pets ok. @,6000,1,"woodmere, ny",longer than a month but within six months
"@ Whole House w/i ""3beds/ 2baths/ Laundry/ Parking/ etc..""+ small Pets",3400,1,flushing,longer than a month but within six months
"@ Whole House w/i ""4beds/ 1.5baths/ Laundry/ Driveway/ Backyard""@",3300,1,fresh meadows,longer than a month but within six months
@#$$& OMG!!...Whole..3 bedrooms...finished basement with 1 bedroom,3499,1,flatbush,longer than a month but within six months
@BARCLAYS__$3400__2BR__PACIFIC ST__Park Slope Prospect Heights,3400,1,park slope,longer than a month but within six months
A BEAUTIFUL 2 bedroom in Staten Island!,2125,1,staten island,longer than a month but within six months
"A BOUTIQUE BUILDING EXPERIENCE W/ THE COMFORT OF MODERN, LUXURY FINISH",5400,1,clinton hill,longer than a month but within six months
A BRANDE new apartment in Brooklyn !,2400,1,brooklyn,longer than a month but within six months
A GREAT 1 bedroom apartment in the Upper West Side !,2395,1,upper west side,longer than a month but within six months
A Great House w/ A Greater Price,3300,1,kew garden,longer than a month but within six months
A Luxury brand new building in prime Greenpoint!,5000,1,williamsburg,longer than a month but within six months
A SPACIOUS 2 bedroom in Staten Island!,2125,1,staten island,longer than a month but within six months
A STUNNING DUPLEX 1.5 BED / 1 BATH APARTMENT WITH DISHWASHER,4300,1,williamsburg,longer than a month but within six months
A Stunning 2-BR Private Garden Apartment in East Harlem,3100,1,east hampton,longer than a month but within six months
A beautiful 2 bedroom in Astoria (W/ Stainless Steel appliances!),2650,1,astoria,longer than a month but within six months
A beautiful brand new apartment located centrally in Crown Heights.,2499,1,crown heights,longer than a month but within six months
A beautiful one Bedroom for rent.,1700,1,bronx,longer than a month but within six months
A big and nice apartment,2650,1,middle village,longer than a month but within six months
A brand building offering Luxurious living options and amenities.,3163,1,bed stuy,longer than a month but within six months
A classic converted railroad apartment with way more square footage,2600,1,buschwick,longer than a month but within six months
A home for everyone - even your pets! Pet friendly 2 bed / 2 bath!,3545,1,elmsford,longer than a month but within six months
A picture is worth a thousand words! Check this 2 bed 2 bath out!,2800,1,elmsford,longer than a month but within six months
A space that fits you and all your stuff close to all!,2800,1,buschwick,longer than a month but within six months
A spacious 1 bed apartment in FLUSHING!,1850,1,queens,longer than a month but within six months
A spacious 2 BEDROOM apartment in FLUSHING!,2450,1,queens,longer than a month but within six months
A spacious STUDIO apartment in FLUSHING!,1625,1,queens,longer than a month but within six months
A spacious TRUE 2 bedroom apartment in Astoria,2650,1,astoria,longer than a month but within six months
A two-bedroom 2nd floor apartment in central Mt. Kisco.,2200,1,mount kisco,longer than a month but within six months
"A very spacious, 2 bed / 2 bath apartment for no fee.",4895,1,crown heights,longer than a month but within six months
A wonderful TRUE 3 bedroom apartment in LES,3500,1,lower east side,longer than a month but within six months
ABSOLUTE BARGAIN DEAL_TRUE 3 BR_EAST VILLAGE_BEST BARGAIN,4150,1,east village,longer than a month but within six months
ABSOLUTELY INSANE GP DUPLEX AVAILABLE ASAP,5999,1,greenpoint,longer than a month but within six months
"AC, Bike Storage, Dishwasher, Outdoor space, Laundry, Roof Access",2900,1,bed stuy,longer than a month but within six months
"AC, Dishwasher, Stone countertops, High Ceilings. modern kitchen",3600,1,williamsburg,longer than a month but within six months
"AC, Duplex, Gym, Roof access, Common court yard, Laundry",3300,1,buschwick,longer than a month but within six months
"AC, Gym, Doorman, Balcony, Laundry, Dishwasher, Garage",4200,1,bed stuy,longer than a month but within six months
"AC, Video Intercom, Gym, Outdoor Space, Laundry, Lounge, Dishwash",3600,1,clinton hill,longer than a month but within six months
"AC, Washer/Drier, outdoor space, dishwasher, duplex, blacony",3150,1,crown heights,longer than a month but within six months
"AC, Washer/Dryer, Gym, Bike Storage, Gym, Parking, Roof",2900,1,bed stuy,longer than a month but within six months
"AC, elevator, Duplex, outdoor space, laundry, zipcar",2950,1,buschwick,longer than a month but within six months
"AC, gym, game room, bike storage, elevator, laundry, roof access",2800,1,bed stuy,longer than a month but within six months
"ACTUALLY HUGE 3 BED/2 BATH, PROSPECT PARK",3500,1,crown heights,longer than a month but within six months
ACTUALLY SPACIOUS 3 BED ON SOUTH THIRD,3650,1,williamsburg,longer than a month but within six months
AFFORDABLE 2 BR,1835,1,parkchester,longer than a month but within six months
AFFORDABLE LUXURY AT ITS BEST! TOP FLOOR+HIGH CEILINGS+AMAZING VIEW,4700,1,financial district,longer than a month but within six months
AFFORDABLE RENOVATED HARLEM 1 BED 1 BATH- NO FEE,2600,1,harlem,longer than a month but within six months
"ALL NEW RENOVATION  1BR,2 BR AND 3BR SUNSET  PARK",2000,1,greenwood,longer than a month but within six months
ALL PETS OK*LAUNDRY*CLOOSE TO RR/SHOPS*NEW KITCH./BATHR.*PARKING*,2450,1,tarrytown,longer than a month but within six months
ALL PETS OK*SEPARATE ENTRANCE*NEW KITCHEN &FLOORS*CLOSE TO RR/SHOPS,2300,1,mamaroneck,longer than a month but within six months
ALL UTILITIES INCLUDED FURNISHED STUDIO,2300,1,bed stuy,longer than a month but within six months
ALL UTILITIES INCLUDED!,2050,1,middle village,longer than a month but within six months
ALL UTILITIES INCLUDED*PORCH*NEW APPLIANCES*HEAT INCLUDED*,2950,1,yonkers,longer than a month but within six months
AMAZING 1 BED 1 BATH IN CLINTON HILL!,2200,1,clinton hill,longer than a month but within six months
AMAZING 1 bedroom avalaible now !,1650,1,brooklyn,longer than a month but within six months
AMAZING 2 BED 1 BATH AVAILIBLE NOW !,2900,1,brooklyn,longer than a month but within six months
AMAZING 2 Beds Apt for rent! *NO FEE*,2800,1,bed stuy,longer than a month but within six months
AMAZING 2 bed plus HUGE basement @ PRIME BUSHWICK!! **No fee**,3200,1,brooklyn,longer than a month but within six months
AMAZING 2 bed plus HUGE basment @ PRIME BUSHWICK!! **No fee**,3300,1,brooklyn,longer than a month but within six months
AMAZING 2BED IN *PLG* *PRIVATE ROOFDECK* *RIGHT NEAR PROSPECT PARK*,2500,1,leffert gardens,longer than a month but within six months
AMAZING 3BR Renov_Bright_Near Sub/Shops_1 blk to Park,2800,1,sunset park,longer than a month but within six months
AMAZING 4 BEDROOM 2 BATH DUPLEX APARTMENT FEATURING A BALCONY,4500,1,buschwick,longer than a month but within six months
AMAZING CONVERTIBLE 4 BEDROOM~~~~1200+SQUARE FEET~~~WINDOWS IN BEDROOM,5600,1,financial district,longer than a month but within six months
AMAZING DEAL! DEKALB L TRAIN! Windows in Livingroom! TONS OF LIGHT!,2600,1,buschwick,longer than a month but within six months
AMAZING DEAL! JUST MINUTES From MARIA HENANDEZ & Dekalb L  BIG LIVINGR,2900,1,buschwick,longer than a month but within six months
AMAZING DEAL!!! 550+SQUARE FEET~~~FREEDOM TOWER VIEWS~~~OCEAN VIEWS,2950,1,financial district,longer than a month but within six months
AMAZING DEAL_BARGAIN_WILL NOT LAST_WASHINGTON HEIGHTS,1500,1,inwood,longer than a month but within six months
AMAZING LARGE 3 BEDROOM APT WITH BALCONY ON THIRD FLOOR PRIVATE HOUSE,3000,1,bayside,longer than a month but within six months
AMAZING LIVE / WORK SPACE,4295,1,chelsea,longer than a month but within six months
"AMAZING LOCATION! HALF Block from Maria Hernadez, Door To Fire Escape!",3100,1,buschwick,longer than a month but within six months
"AMAZING LOCATION! HALF Block from Maria Hernadez, Jefferson L Train!!!",3000,1,buschwick,longer than a month but within six months
AMAZING STUDIO BED 1 BATH,1800,0,crown heights,longer than a month but within six months
AMAZING SUNLIT DUPLEX IN WILLIAMSBURG!,4246,1,williamsburg,longer than a month but within six months
AMAZING TRUE 1 BEDROOM in FIDI!!,3050,1,financial district,longer than a month but within six months
AMAZING UPDATED 2 BEDROOM APARTMNET,2500,2,astoria,longer than a month but within six months
AMAZING WEST CHELSEA 1BED/1BATH,4750,1,chelsea,longer than a month but within six months
AMAZING WILLIAMSBURG 2 BEDROOM NO FEE,3849,1,williamsburg,longer than a month but within six months
AMAZING Williamsburg Duplex with W/D in unit!,4646,1,brooklyn,longer than a month but within six months
APARTAMENTO 2 DORMITORIO,1950,1,college point,longer than a month but within six months
"APARTAMENTO DE 2 DORMITORIO CERCA DEL  MONTEFIORE/TRENES D, #:2, #:4",2555,1,bronx,longer than a month but within six months
"APARTAMENTO DE UN DORMITORIO CERCA DEL  MONTEFIORE/TRENES D, #:2, #:4",1500,1,bronx,longer than a month but within six months
APARTAMENTO EN RENTA EN FLUSHING,2280,1,flushing,longer than a month but within six months
APARTMENT FOR RENT,1570,1,college point,longer than a month but within six months
